ticker,symbol,name,exchange,price,volume,ma5,ma10,dev5,dev10,gain3,gain5,dayLow,dayHigh,dayOpen,base_date,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,ma20,ma50,ma120,ma200,ma250,rsi14,macd,macd_signal,macd_histogram,atr14,atr14_pct,distance_ma5,ma5_slope,distance_ma10,ma10_slope,distance_ma20,ma20_slope,distance_ma50,ma50_slope,distance_ma120,ma120_slope,distance_ma200,ma200_slope,avg_volume_5d,avg_volume_20d,avg_volume_60d,volume_ratio_20d,volume_ratio_60d,high_20d,low_20d,drawdown_20d_high,distance_to_20d_high,high_60d,low_60d,drawdown_60d_high,distance_to_60d_high,high_120d,low_120d,drawdown_120d_high,distance_to_120d_high,high_250d,low_250d,drawdown_250d_high,distance_to_250d_high,pct_from_52w_high,pct_from_52w_low,return_1d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,open,high,low,close,previous_day_high,previous_day_low,daily_return,close_above_previous_high,close_below_previous_low,no_new_low_3d,no_new_low_5d,higher_low,higher_high,reclaim_ma5,reclaim_ma10,reclaim_ma20,lower_shadow_ratio,upper_shadow_ratio,intraday_recovery,gap_down,gap_down_recovery,up_day_volume_expansion,down_day_volume_contraction,reversal_score,reversal_signal,reversal_stage,trend_state_raw,trend_state,trend_state_previous,trend_state_changed,trend_state_change_reason,trend_state_shock,location_state,technical_regime,setup_types,bottoming_eligible,bottoming_score,trend_recovery_score,trend_strength_score,near_high_score,breakout_score,relative_strength_score,technical_deterioration_score,technical_score,previous_state_available,previous_state_date,trend_state_initialized,trend_state_reinitialized,previous_state_file_status,sector,sector_benchmark,rs_5d_vs_spy,rs_5d_vs_qqq,rs_5d_vs_sector,rs_10d_vs_spy,rs_10d_vs_qqq,rs_10d_vs_sector,rs_20d_vs_spy,rs_20d_vs_qqq,rs_20d_vs_sector,rs_60d_vs_spy,rs_60d_vs_qqq,rs_60d_vs_sector,rs_improving_5d,rs_improving_10d,residual_5d,residual_10d,residual_20d,residual_60d,data_coverage_score,setup_type,index_data_status,sp500_member,sp400_member,sp600_member,russell1000_member,russell2000_member,russell3000_member,nasdaq100_member,sp500_eligibility,ndx_eligibility,estimated_passive_buy_usd,passive_buy_to_adv,index_catalyst_score,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,technical_percentile,bottoming_percentile,reversal_percentile,trend_recovery_percentile,trend_strength_percentile,near_high_percentile,breakout_percentile,relative_strength_percentile,marketCap,marketCapSource,marketCapRetrievedAt,Ticker,Market_Cap,Universe_AsOf_Date,Technical_AsOf_Date,MarketCap_Source,MarketCap_AsOf_Date,Company,Latest_Earnings_Date,Fundamental_Revision_State,Fundamental_Score,Guide_Direction,EPS_Revision,Revenue_Revision,Orders_Trend,Backlog_Trend,RPO_Trend,Core_KPI_Trend,Gross_Margin_Trend,Operating_Margin_Trend,FCF_Trend,Demand_Commentary,Customer_Commentary,Thesis_Breaker,Fundamental_Data_Status,Fundamental_Data_Coverage,Source,AsOf_Date,Fundamental_AsOf_Date,Catalyst_AsOf_Date,Technical_Percentile,RS_Percentile,Technical_Score,Catalyst_Score,Catalyst_Tags,Opportunity_Score,Type_A_Score,Type_B_Score,Type_C_Score,Type_D_Score,Opportunity_Type,Primary_Opportunity_Type,Core_Opportunity,Why_Now,Main_Risk,Next_Trigger,Invalidation
A,A,"Agilent Technologies, Inc. Common Stock",NYSE,172.79,2576144,168.03,160.372001,2.83,7.74,3.31,10.43,169.43,172.94,171.98,2026-09-25,174.77,174.77,174.77,174.77,174.77,-1.05,-1.05,-1.05,1.13,1.13,False,False,False,True,True,154.746499,148.747,134.25025,132.07815,134.57456,76.326557,5.645463,3.459001,2.186462,4.802859,2.779593,2.832827,0.100292,7.743246,0.075449,11.660038,0.039045,16.163687,0.173802,28.707395,-0.003393,30.824061,0.065579,3072128.8,2567622.2,2259482.4,1.003319,1.140148,174.770004,141.25,-1.13292,1.13292,174.770004,125.0,-1.13292,1.13292,174.770004,108.349998,-1.13292,1.13292,174.770004,108.349998,-1.13292,1.13292,-1.13292,59.473929,-0.000289,0.104301,0.176002,0.095757,0.295374,0.504615,0.400357,171.97999572753906,172.94000244140625,169.42999267578125,172.79,174.77000427246094,163.6199951171875,-0.000289,False,False,True,True,False,True,False,False,False,0.726495,0.042736,True,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,90.94,20.0,,0.0,50.37,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,96.4601,,71.8122,69.3615,98.1033,96.6197,78.6667,,487.28583125,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,A,48728583125.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"AGILENT TECHNOLOGIES, INC.",2026-09-01,Stable,50.0,Unknown,3.55,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,96.4601,0.0,57.88,0.0,,48.15,40.45,43.31,58.83,47.76,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AA,AA,Alcoa Corporation Common Stock ,NYSE,42.85,3400849,43.78,45.003,-2.12,-4.78,-4.16,-3.56,42.25,43.18,42.52,2026-09-25,84.38,84.38,84.38,84.38,84.38,-48.83,-48.83,-48.83,49.22,49.22,False,False,False,False,False,47.615,47.842,57.198,58.08495,54.02452,22.573195,-1.770879,-1.183586,-0.587293,1.793,4.184365,-2.124257,-0.052914,-4.784126,-0.104008,-10.007351,-0.043895,-10.434346,-0.23173,-25.084793,0.090516,-26.228739,0.830658,3737769.8,3770862.45,4903872.483333,0.901876,0.693503,53.169998,42.25,-19.409439,19.409439,55.049999,42.25,-22.16167,22.16167,84.379997,42.25,-49.217822,49.217822,84.379997,31.98,-49.217822,49.217822,-49.217822,39.078224,0.003983,-0.035562,-0.112101,-0.162922,-0.097515,-0.396564,0.309997,42.52000045776367,43.18000030517578,42.25,42.85,43.4900016784668,42.27999877929688,0.003983,False,False,False,False,False,False,False,False,False,0.290323,0.354839,False,False,False,False,False,0.0,False,,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R0 Downtrend / Falling Knife,['Deep Pullback'],True,42.49,0.0,0.0,0.0,0.0,,20.01,17.1,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,3.4648,43.1446,29.1643,28.4319,14.0751,33.7089,32.7512,,112.63655113,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AA,11263655113.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,Alcoa Corp,2026-07-30,Stable,50.0,Unknown,3.13,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,3.4648,0.0,2.08,0.0,,25.83,42.73,31.03,30.93,28.23,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AAPL,AAPL,Apple Inc. - Common Stock,Nasdaq,341.07,29649787,338.548003,336.27,0.74,1.43,0.39,1.47,334.53,341.67,336.04,2026-09-25,345.34,345.34,345.34,345.34,345.34,-1.06,-1.06,-1.06,1.24,1.24,False,False,False,True,True,329.396,321.831999,304.330083,287.766349,283.421599,74.39873,6.210878,5.407875,0.803003,6.813575,1.997706,0.744945,0.013641,1.427424,0.042627,3.544062,0.064898,5.977653,0.06688,12.072391,0.148936,18.52324,0.26041,32350537.4,42877694.35,47146133.116667,0.691497,0.628891,345.339996,309.899994,-1.236462,1.236462,345.339996,293.679993,-1.236462,1.236462,345.339996,245.699997,-1.236462,1.236462,345.339996,243.419998,-1.236462,1.236462,-1.236462,40.11585,0.015331,0.014697,0.026485,0.084208,0.158605,0.317585,0.335121,336.0400085449219,341.6700134277344,334.5299987792969,341.07,338.9100036621094,334.29998779296875,0.015331,True,False,False,True,False,False,True,False,False,0.211486,0.084035,False,False,False,False,False,0.0,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,57.14,90.11,40.0,,0.0,47.3,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,True,93.6338,,29.1643,69.3615,92.5258,96.4695,95.2113,,49024.769456,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AAPL,4902476945600.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AAPL | Apple Inc. FY2026 Q3 Post-Earnings Review,2026-07-31,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\aapl-review-2026-07-31.json,2026-07-31,2026-07-31,,93.6338,0.0,56.18,0.0,,67.47,47.79,61.31,77.91,69.16,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE,264.34,2524237,264.845997,263.952997,-0.19,0.15,-0.33,0.14,262.59,266.0,265.49,2026-09-25,269.39,269.39,269.39,269.39,269.39,-1.26,-1.26,-1.26,1.87,1.87,False,False,False,True,True,260.080998,257.048199,236.0375,230.562199,230.080959,65.015268,2.611221,2.295705,0.315516,5.177855,1.958786,-0.191053,0.006789,0.146618,0.030225,1.637568,0.024663,2.836745,0.131649,11.99068,0.054102,14.65019,0.126145,3129487.4,4073011.85,5008483.95,0.619747,0.503992,269.390015,246.770004,-1.874611,1.874611,269.390015,241.199997,-1.874611,1.874611,269.390015,190.75,-1.874611,1.874611,269.390015,190.75,-1.874611,1.874611,-1.874611,38.579292,-0.002942,0.00144,0.02808,0.023978,0.052896,0.27892,0.198223,265.489990234375,266.0,262.5899963378906,264.34,267.4100036621094,263.0899963378906,-0.002942,False,False,False,True,False,False,False,False,False,0.513197,0.149563,False,False,False,False,True,0.0,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,0.0,57.14,85.0,20.0,,0.0,43.09,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,88.8545,,29.1643,28.4319,92.5258,95.3803,78.6667,,4684.98134599,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ABBV,468498134598.99994,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AbbVie Inc.,2026-08-03,Stable,50.0,Unknown,2.42,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,88.8545,0.0,53.31,0.0,,46.32,29.79,31.03,57.43,46.16,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,2.91,13201719,2.948,2.97,-1.29,-2.02,-3.32,-1.02,2.88,2.92,2.9,2026-09-25,3.45,3.45,3.45,3.45,3.45,-15.36,-15.36,-15.36,15.65,15.65,False,False,False,False,False,2.974,2.972,3.059833,2.94905,2.8292,35.135127,-0.004423,0.00475,-0.009173,0.061429,2.110946,-1.289011,-0.014706,-2.020203,-0.002686,-2.151984,0.022169,-2.086137,-0.061395,-4.896781,0.153711,-1.324155,0.260763,16050903.8,23883205.95,27582188.65,0.552762,0.478632,3.11,2.82,-6.430865,6.430865,3.17,2.75,-8.201895,8.201895,3.45,2.75,-15.652175,15.652175,3.45,2.1,-15.652175,15.652175,-15.652175,38.571435,-0.0,-0.010204,-0.036424,0.010417,-0.064309,-0.026756,0.265217,2.900000095367432,2.9200000762939453,2.88,2.91,2.970000028610229,2.900000095367432,-0.0,False,False,False,False,False,False,False,False,False,0.500001,0.250001,True,False,False,False,False,0.0,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Pullback,RN Neutral / Consolidation,[],True,0.61,0.0,14.29,34.38,0.0,,4.3,22.13,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,23.9061,0.351,29.1643,28.4319,43.5117,81.1268,32.7512,,458.6636878,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ABEV,45866368780.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMBEV S.A.,2026-03-03,Stable,45.0,Unknown,0.9927,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,PARTIAL,Partial XBRL minimum snapshot,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,23.9061,0.0,14.34,0.0,,28.24,27.65,28.78,36.04,29.77,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",Nasdaq,157.47,5466850,157.417999,162.571998,0.03,-3.14,-2.68,-5.26,151.18,158.64,151.38,2026-09-25,193.45,193.45,193.45,193.45,193.45,-18.0,-18.0,-18.0,18.6,18.6,False,False,False,False,False,170.668748,167.9966,150.833917,142.713275,138.49858,24.547536,-4.788172,-2.112397,-2.675776,5.640856,3.582178,0.033034,-0.061457,-3.138301,-0.090585,-7.733547,-0.032395,-6.26596,0.208897,4.399596,0.181646,10.340121,0.124326,7201430.0,5217702.5,4699869.166667,1.04775,1.163192,191.490005,149.0,-17.765943,17.765943,193.453003,135.720001,-18.600385,18.600385,193.453003,123.410004,-18.600385,18.600385,193.453003,110.809998,-18.600385,18.600385,-18.600385,42.108116,0.040161,-0.052641,-0.07474,-0.146041,0.06897,0.241779,0.272999,151.3800048828125,158.64,151.17999267578125,157.47,153.97000122070312,149.67999267578125,0.040161,True,False,True,False,False,False,True,False,False,0.026811,0.156836,False,False,False,False,False,50.0,True,Watch,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R3 Reversal,"['Reversal', 'Bottoming']",True,46.8,16.67,14.29,0.0,20.0,,15.47,34.47,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Reversal, Bottoming",Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,72.77,47.3561,97.3709,69.3615,43.5117,33.7089,78.6667,,906.50164398,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ABNB,90650164398.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"Airbnb, Inc.",2026-08-06,Stable,50.0,Unknown,,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,72.77,0.0,43.66,0.0,,42.46,61.05,43.31,45.18,42.78,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ABT,ABT,Abbott Laboratories Common Stock,NYSE,101.29,7728970,102.504001,102.484,-1.18,-1.17,-2.31,-1.29,100.09,101.82,100.81,2026-09-25,129.46,141.23,141.23,129.46,141.23,-21.35,-27.9,-27.9,21.76,28.28,False,False,False,False,False,105.0125,107.0058,97.778917,104.64445,109.3962,23.613193,-1.706313,-1.291396,-0.414917,2.130001,2.102874,-1.184345,0.00039,-1.16506,-0.047024,-3.544816,-0.053208,-5.341579,0.197099,3.590839,-0.178361,-3.205569,-0.200091,7905954.0,8791473.5,9765884.5,0.879144,0.791425,113.910004,100.089996,-11.078925,11.078925,117.339996,87.639999,-13.678197,13.678197,117.339996,81.970001,-13.678197,13.678197,135.449997,81.970001,-25.219637,25.219637,-25.219637,23.569597,0.002177,-0.012864,-0.006474,-0.092302,0.098828,-0.009873,-0.241557,100.80999755859376,101.82,100.08999633789062,101.29,104.22000122070312,101.0199966430664,0.002177,False,False,False,False,False,False,False,False,False,0.416185,0.306358,True,False,False,False,False,0.0,False,,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R0 Downtrend / Falling Knife,['Deep Pullback'],True,17.03,0.0,14.29,0.0,0.0,,7.09,19.55,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,10.3286,13.8512,29.1643,28.4319,43.5117,33.7089,32.7512,,1748.89839727,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ABT,174889839727.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ABBOTT LABORATORIES,2026-04-29,Stable,50.0,Unknown,0.61,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,10.3286,0.0,6.2,0.0,,27.48,33.95,31.03,38.29,29.67,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ACGL,ACGL,Arch Capital Group Ltd. - Common Stock,Nasdaq,94.66,3694007,95.113999,96.111999,-0.48,-1.51,-0.31,-2.3,94.34,95.9,95.31,2026-09-25,107.09,116.47,116.47,107.09,116.47,-10.45,-17.66,-17.66,11.61,18.73,False,False,False,False,False,96.844999,98.8494,96.788333,96.35185,95.12092,30.760664,-1.022208,-0.826864,-0.195344,1.846427,1.950589,-0.477321,-0.020554,-1.510737,-0.015024,-2.256182,-0.023592,-4.238164,0.042515,-2.198956,0.032258,-1.755908,0.059171,4594581.4,4373390.35,2587966.783333,0.844655,1.427378,100.510002,93.690002,-5.820318,5.820318,107.089996,93.690002,-11.607056,11.607056,107.089996,87.050003,-11.607056,11.607056,107.089996,82.449997,-11.607056,11.607056,-11.607056,14.808979,-0.003789,-0.023016,-0.014882,-0.041515,-0.039472,-0.022006,0.041593,95.30999755859376,95.9000015258789,94.33999633789062,94.66,97.05999755859376,94.91999816894533,-0.003789,False,True,True,False,False,False,False,False,False,0.20513,0.378206,False,False,False,False,True,0.0,False,,Downtrend,Downtrend,,False,raw state accepted,False,Pullback,R0 Downtrend / Falling Knife,['Technical Deterioration'],True,35.82,0.0,14.29,7.14,0.0,,4.51,23.05,False,,True,False,Missing,Financials,XLF,,,,,,,,,,,,,,,,,,,86.27,Technical Deterioration,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,28.6479,35.4352,29.1643,28.4319,43.5117,70.3474,32.7512,,324.23591553,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ACGL,32423591553.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ARCH CAPITAL GROUP LTD.,2026-08-04,Stable,50.0,Unknown,5.88,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,28.6479,0.0,17.19,0.0,,31.88,40.42,31.03,38.29,33.52,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,176.11,4914333,181.374002,185.648999,-2.9,-5.14,-4.14,-2.86,175.74,180.045,177.125,2026-09-25,291.09,398.35,398.35,291.09,398.35,-38.15,-54.8,-54.8,39.5,55.79,False,False,False,False,False,185.405498,175.329199,170.386833,197.97545,208.03988,41.150958,1.041019,3.034002,-1.992983,7.309644,4.150613,-2.902291,-0.045018,-5.13819,0.00263,-5.013605,0.045071,0.445334,0.103334,3.358926,-0.297162,-11.044526,-0.293723,4973386.6,4831411.65,6244005.55,1.017163,0.787048,197.630005,175.490005,-10.889037,10.889037,197.630005,129.5,-10.889037,10.889037,202.160004,118.150002,-12.885835,12.885835,291.089996,118.150002,-39.49981,39.49981,-39.49981,49.056282,-0.007328,-0.028573,-0.04236,-0.060145,0.343018,-0.114803,-0.263046,177.125,180.045,175.74,176.11,186.33999633789065,176.8699951171875,-0.007328,False,True,False,False,False,False,False,False,False,0.085947,0.678281,False,False,False,False,False,0.0,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Pullback,RN Neutral / Consolidation,[],True,8.67,0.0,28.57,12.89,0.0,,10.03,23.23,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,29.5775,5.1006,29.1643,28.4319,67.2864,72.4131,32.7512,,1184.22986356,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ACN,118422986356.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,Accenture plc,2026-06-18,Stable,50.0,Unknown,10.27,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,29.5775,0.0,17.75,0.0,,32.1,31.32,31.03,44.23,33.71,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ADBE,ADBE,Adobe Inc. - Common Stock,Nasdaq,235.47,3107436,240.572,247.831001,-2.12,-4.99,-1.17,-5.4,234.96,241.16,238.84,2026-09-25,351.12,638.25,638.25,351.12,638.25,-31.32,-62.22,-62.22,32.94,63.11,False,False,False,False,False,259.696501,257.417999,243.989333,262.68395,277.52992,29.306669,-6.645855,-3.268573,-3.377282,8.895004,3.777553,-2.120779,-0.056913,-4.987673,-0.087387,-9.328775,-0.024416,-8.52621,0.114657,-3.491683,-0.200416,-10.359959,-0.288288,4636767.2,5586591.8,5241337.266667,0.556231,0.592871,294.529999,234.96,-20.052286,20.052286,294.529999,210.880005,-20.052286,20.052286,294.529999,190.119995,-20.052286,20.052286,363.700012,190.119995,-35.257082,35.257082,-35.257082,23.853359,-0.014481,-0.054033,-0.066447,-0.185648,0.116077,-0.036381,-0.346588,238.83999633789065,241.16000366210935,234.96,235.47,244.2100067138672,236.83999633789065,-0.014481,False,True,False,False,False,False,False,False,False,0.082258,0.374195,False,False,False,False,True,0.0,False,,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R0 Downtrend / Falling Knife,['Deep Pullback'],True,46.16,0.0,14.29,0.0,0.0,,18.66,21.31,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,19.3427,46.8999,29.1643,28.4319,43.5117,33.7089,32.7512,,929.91556,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ADBE,92991556000.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ADOBE INC.,2026-06-15,Stable,50.0,Unknown,8.86,Unknown,N/A,N/A,N/A,N/A,Unknown,Unknown,Unknown,SEC minimum snapshot,N/A,Unknown,MINIMUM_COMPLETE,Latest revenue plus GAAP/IFRS earnings fact,SEC Companyfacts/XBRL (SEC_COMPANYFACTS),2026-09-11,2026-09-11,,19.3427,0.0,11.61,0.0,,29.64,43.86,31.03,38.29,31.56,UNCLASSIFIED,UNCLASSIFIED,False,"Fundamental evidence, catalyst, or technical confirmation is incomplete",Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
