ticker,symbol,name,exchange,price,volume,ma5,ma10,dev5,dev10,gain3,gain5,dayLow,dayHigh,dayOpen,base_date,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,ma20,ma50,ma120,ma200,ma250,rsi14,macd,macd_signal,macd_histogram,atr14,atr14_pct,distance_ma5,ma5_slope,distance_ma10,ma10_slope,distance_ma20,ma20_slope,distance_ma50,ma50_slope,distance_ma120,ma120_slope,distance_ma200,ma200_slope,avg_volume_5d,avg_volume_20d,avg_volume_60d,volume_ratio_20d,volume_ratio_60d,high_20d,low_20d,drawdown_20d_high,distance_to_20d_high,high_60d,low_60d,drawdown_60d_high,distance_to_60d_high,high_120d,low_120d,drawdown_120d_high,distance_to_120d_high,high_250d,low_250d,drawdown_250d_high,distance_to_250d_high,pct_from_52w_high,pct_from_52w_low,return_1d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,open,high,low,close,previous_day_high,previous_day_low,daily_return,close_above_previous_high,close_below_previous_low,no_new_low_3d,no_new_low_5d,higher_low,higher_high,reclaim_ma5,reclaim_ma10,reclaim_ma20,lower_shadow_ratio,upper_shadow_ratio,intraday_recovery,gap_down,gap_down_recovery,up_day_volume_expansion,down_day_volume_contraction,reversal_score,reversal_signal,reversal_stage,trend_state_raw,trend_state,trend_state_previous,trend_state_changed,trend_state_change_reason,trend_state_shock,location_state,technical_regime,setup_types,bottoming_eligible,bottoming_score,trend_recovery_score,trend_strength_score,near_high_score,breakout_score,relative_strength_score,technical_deterioration_score,technical_score,previous_state_available,previous_state_date,trend_state_initialized,trend_state_reinitialized,previous_state_file_status,sector,sector_benchmark,rs_5d_vs_spy,rs_5d_vs_qqq,rs_5d_vs_sector,rs_10d_vs_spy,rs_10d_vs_qqq,rs_10d_vs_sector,rs_20d_vs_spy,rs_20d_vs_qqq,rs_20d_vs_sector,rs_60d_vs_spy,rs_60d_vs_qqq,rs_60d_vs_sector,rs_improving_5d,rs_improving_10d,residual_5d,residual_10d,residual_20d,residual_60d,data_coverage_score,setup_type,index_data_status,sp500_member,sp400_member,sp600_member,russell1000_member,russell2000_member,russell3000_member,nasdaq100_member,sp500_eligibility,ndx_eligibility,estimated_passive_buy_usd,passive_buy_to_adv,index_catalyst_score,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,technical_percentile,bottoming_percentile,reversal_percentile,trend_recovery_percentile,trend_strength_percentile,near_high_percentile,breakout_percentile,relative_strength_percentile,marketCap,marketCapSource,marketCapRetrievedAt,Ticker,Market_Cap,Universe_AsOf_Date,Technical_AsOf_Date,MarketCap_Source,MarketCap_AsOf_Date,Company,Latest_Earnings_Date,Fundamental_Revision_State,Fundamental_Score,Guide_Direction,EPS_Revision,Revenue_Revision,Orders_Trend,Backlog_Trend,RPO_Trend,Core_KPI_Trend,Gross_Margin_Trend,Operating_Margin_Trend,FCF_Trend,Demand_Commentary,Customer_Commentary,Thesis_Breaker,Fundamental_Data_Status,Fundamental_Data_Coverage,Source,AsOf_Date,Fundamental_AsOf_Date,Catalyst_AsOf_Date,Technical_Percentile,RS_Percentile,Technical_Score,Catalyst_Score,Catalyst_Tags,Opportunity_Score,Type_A_Score,Type_B_Score,Type_C_Score,Type_D_Score,Opportunity_Type,Primary_Opportunity_Type,Core_Opportunity,Why_Now,Main_Risk,Next_Trigger,Invalidation
ALAB,ALAB,"Astera Labs, Inc. - Common Stock",Nasdaq,364.62,3055046,357.957997,316.535997,1.86,15.19,0.32,20.24,356.197,377.87,364.1,2026-09-25,499.48,499.48,499.48,499.48,499.48,-24.35,-24.35,-24.35,27.0,27.0,False,False,False,False,False,303.210501,305.029699,296.945583,236.2112,223.05842,62.745652,13.64026,2.544546,11.095714,22.475502,6.164089,1.861113,0.301126,15.19069,0.091936,20.253091,-0.023972,19.535901,-0.095243,22.790175,0.974396,54.361859,0.862723,4273649.2,4035517.3,4261314.1,0.75704,0.716926,377.87,251.625,-3.506497,3.506497,465.929993,244.610001,-21.743608,21.743608,499.476013,114.837997,-26.999497,26.999497,499.476013,97.889999,-26.999497,26.999497,-26.999497,272.479316,0.0114,0.202374,0.252043,0.199053,-0.153739,2.090262,0.843564,364.1000061035156,377.87,356.197,364.62,367.7200012207031,348.3500061035156,0.0114,False,False,False,True,False,True,False,False,False,0.364648,0.61136,True,False,False,False,False,16.67,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,41.23,16.67,42.86,0.0,0.0,,0.0,33.66,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,70.5258,41.694,71.8122,69.3615,82.2723,33.7089,32.7512,,625.43114843,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ALAB,62543114843.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"ALAB | Astera Labs, Inc. FY2026 Q2 Earnings Preview",2026-08-02,Strong Up,86.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\alab-preview-2026-08-02.json,2026-08-02,2026-08-02,,70.5258,0.0,42.32,0.0,,59.93,69.16,59.51,64.18,62.11,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",Nasdaq,485.0,5179419,474.065997,449.306,2.31,7.94,2.65,9.09,476.36,487.68,478.885,2026-09-25,739.67,739.67,739.67,739.67,739.67,-34.07,-34.07,-34.07,34.43,34.43,False,False,False,False,False,451.809502,490.2458,487.814333,421.417,383.45852,60.074507,-6.2777,-14.193984,7.916284,18.228571,3.758468,2.30643,0.116642,7.944252,-0.011021,7.346127,-0.120279,-1.070035,-0.063048,-0.576927,0.664179,15.087906,1.302104,5844743.8,6370705.95,7502205.316667,0.813006,0.690386,487.68,411.51001,-0.549541,0.549541,657.0,411.51001,-26.179604,26.179604,739.669983,345.5,-34.430217,34.430217,739.669983,202.869995,-34.430217,34.430217,-34.430217,147.196742,0.022667,0.090942,0.062455,0.005473,-0.254889,0.375418,1.378384,478.885009765625,487.68,476.3599853515625,485.0,474.7999877929688,460.5499877929688,0.022667,True,False,False,True,False,True,False,False,False,0.223058,0.236749,False,False,False,False,False,33.33,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,54.54,16.67,28.57,0.0,20.0,,0.0,38.29,False,,True,False,Missing,Materials,XLB,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,81.446,53.3926,90.6854,69.3615,67.2864,33.7089,78.6667,,3763.63587343,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMAT,376363587343.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"AMAT | Applied Materials, Inc. FY2026 Q3 Earnings Preview",2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\amat-preview-2026-08-09.json,2026-08-09,2026-08-09,,81.446,0.0,48.87,0.0,,64.55,79.19,61.31,69.12,66.6,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",Nasdaq,249.67,32976800,252.350003,251.457002,-1.06,-0.71,-2.08,-1.59,247.18,250.878,248.56,2026-09-25,287.2,287.2,287.2,287.2,287.2,-12.65,-12.65,-12.65,13.07,13.07,False,False,False,False,False,254.306,256.175,253.73575,240.84785,238.38476,40.045037,-2.000848,-1.585763,-0.415085,5.324139,2.13247,-1.062018,0.007128,-0.710659,-0.022158,-1.823001,-0.048049,-2.53928,0.013914,-1.602356,0.130579,3.662956,0.121002,39037620.0,35283615.0,39669605.0,0.934621,0.831286,267.559998,244.300003,-6.68635,6.68635,287.200012,226.160004,-13.067552,13.067552,287.200012,209.080002,-13.067552,13.067552,287.200012,196.0,-13.067552,13.067552,-13.067552,27.382653,0.001163,-0.015924,-0.027689,-0.025716,0.032975,0.173316,0.136,248.55999755859372,250.878,247.17999267578125,249.67,250.42999267578125,245.6000061035156,0.001163,False,False,False,False,False,False,False,False,False,0.373175,0.326662,True,False,False,False,False,0.0,False,,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R0 Downtrend / Falling Knife,['Deep Pullback'],True,15.2,0.0,14.29,0.0,0.0,,3.65,19.85,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,11.8967,11.5817,29.1643,28.4319,43.5117,33.7089,32.7512,,26898.90878585,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMZN,2689890878585.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMZN | Amazon.com FY2026 Q2 Post-Earnings Review,2026-07-31,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\amzn-review-2026-07-31.json,2026-07-31,2026-07-31,,11.8967,0.0,7.14,0.0,,47.86,51.27,49.03,56.29,52.0,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
APP,APP,Applovin Corporation - Class A Common Stock,Nasdaq,310.75,3007024,319.474005,321.929001,-2.73,-3.47,-5.47,0.87,308.33,316.0,312.25,2026-09-25,683.5,745.61,745.61,683.5,745.61,-53.77,-57.62,-57.62,54.54,58.32,False,False,False,False,False,318.477998,343.4202,428.321501,466.400425,495.305221,45.635734,-6.928669,-8.949272,2.020602,15.604148,5.021447,-2.73074,-0.015136,-3.472505,0.021909,-2.426541,-0.047332,-9.513185,-0.321629,-27.449358,-0.220142,-33.372702,0.07644,4639564.8,4896966.2,5853022.066667,0.614059,0.513756,338.339996,300.089996,-8.154518,8.154518,576.460022,297.5,-46.0934,46.0934,622.0,297.5,-50.040193,50.040193,745.609985,297.5,-58.322715,58.322715,-58.322715,4.453782,-0.005505,0.008732,-0.040777,-0.006014,-0.44962,-0.246995,-0.536097,312.25,316.0,308.3299865722656,310.75,320.44500732421875,308.239990234375,-0.005505,False,False,True,False,False,False,False,False,False,0.315516,0.488917,False,False,False,False,True,16.67,False,,Downtrend,Downtrend,,False,raw state accepted,False,Deep Pullback,R0 Downtrend / Falling Knife,['Bottoming'],True,100.0,0.0,0.0,0.0,0.0,,4.85,29.27,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Bottoming,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,58.2817,89.3191,71.8122,28.4319,14.0751,33.7089,32.7512,,1045.6839797,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,APP,104568397970.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,APP | AppLovin Corporation FY2026 Q2 Earnings Preview,2026-08-02,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\app-preview-2026-08-02.json,2026-08-02,2026-08-02,,58.2817,0.0,34.97,0.0,,58.99,85.25,49.03,48.93,61.74,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ARM,ARM,Arm Holdings plc - American Depositary Shares,Nasdaq,310.32,6983681,321.064,287.064997,-3.35,8.1,-6.87,12.59,310.08,325.48,318.11,2026-09-25,452.7,452.7,452.7,452.7,452.7,-28.1,-28.1,-28.1,31.45,31.45,False,False,False,False,False,268.034999,264.315999,271.621458,211.830825,200.14738,65.856972,14.708814,6.683931,8.024882,19.444863,6.266068,-3.346373,0.268697,8.100954,0.152848,15.775925,0.026046,17.404925,-0.161036,14.247233,1.05023,46.49426,0.537486,8789036.2,5298544.05,5357251.35,1.318038,1.303594,336.980011,225.460007,-7.911452,7.911452,358.48999,219.389999,-13.436914,13.436914,452.700012,137.580002,-31.451294,31.451294,452.700012,100.019997,-31.451294,31.451294,-31.451294,210.257959,0.012992,0.125939,0.171948,0.21594,-0.080452,1.085904,1.222604,318.1099853515625,325.4800109863281,310.0799865722656,310.32,326.0,303.6499938964844,0.012992,False,False,False,True,False,False,False,False,False,0.015585,0.478572,False,False,False,True,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Deep Pullback,R5 Strong Trend,['Deep Pullback'],True,16.31,0.0,42.86,0.0,40.0,,0.0,37.87,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,80.7981,12.9036,71.8122,28.4319,82.2723,33.7089,95.2113,,3259.62685898,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ARM,325962685898.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ARM | Arm Holdings plc FYE2027 Q1 Earnings Preview,2026-07-25,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\arm-preview-2026-07-25.json,2026-07-25,2026-07-25,,80.7981,0.0,48.48,0.0,,64.39,62.32,49.03,75.35,66.47,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE,821.58,1928791,812.672006,802.117998,1.1,2.43,1.68,1.56,809.05,823.0,816.34,2026-09-25,1073.46,1073.46,1073.46,1073.46,1073.46,-23.33,-23.33,-23.33,23.46,23.46,False,False,False,False,False,803.301498,829.233401,867.653832,789.564149,740.224599,52.637755,-6.015394,-10.397063,4.381669,20.486437,2.493541,1.096136,0.026666,2.426327,-0.002942,2.275422,-0.042693,-0.922949,-0.107863,-5.310163,0.36919,4.054876,0.90283,2169038.2,2409484.55,2725613.183333,0.800499,0.707654,830.5,771.390015,-1.074052,1.074052,1001.280029,771.390015,-17.94703,17.94703,1073.459961,708.929993,-23.464309,23.464309,1073.459961,467.459991,-23.464309,23.464309,-23.464309,78.767576,0.020279,0.015563,0.003677,0.005606,-0.171301,0.139122,0.763956,816.3400268554688,823.0,809.0499877929688,821.58,809.1400146484375,794.2000122070312,0.020279,True,False,False,False,True,True,True,False,False,0.522583,0.101792,True,False,False,False,False,33.33,False,Watch,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Bottoming'],True,39.84,50.0,28.57,0.0,20.0,,0.0,36.52,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Bottoming,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,77.3897,40.0562,90.6854,96.5352,67.2864,33.7089,78.6667,,3701.53204367,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CAT,370153204367.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CAT | Caterpillar Inc. FY2026 Q2 财报复盘,2026-08-05,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\cat-review-2026-08-05.json,2026-08-05,2026-08-05,,77.3897,0.0,46.43,0.0,,63.57,75.19,69.46,69.12,65.75,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
CBRS,CBRS,Cerebras Systems Inc. - Class A Common Stock,Nasdaq,206.75,5492700,207.860004,198.752002,-0.53,4.02,-2.66,4.22,203.61,213.0,211.38,2026-09-25,386.34,386.34,386.34,386.34,386.34,-44.87,-44.87,-44.87,46.48,46.48,False,False,False,False,False,194.385501,202.7108,,,,47.639482,1.137471,-1.525113,2.662584,10.917858,5.280705,-0.534015,0.096054,4.024109,0.045959,6.360813,-0.097311,1.992592,,,,,,5094480.0,5832100.0,6338226.666667,0.941805,0.866599,222.5,168.699997,-7.078652,7.078652,265.630005,162.350006,-22.166172,22.166172,,,,,,,,,-46.484961,28.567877,0.001647,0.042244,0.077216,0.10757,-0.065621,,,211.3800048828125,213.0,203.61,206.75,208.6499938964844,197.0399932861328,0.001647,False,False,False,False,False,False,False,False,False,0.334398,0.172523,False,False,False,False,False,0.0,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,42.5,0.0,28.57,0.0,0.0,,0.0,27.24,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,74.51,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,50.2817,43.2148,29.1643,28.4319,67.2864,33.7089,32.7512,,490.35593703,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CBRS,49035593703.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CBRS | Cerebras Systems Inc. FY2026 Q2 Earnings Preview,2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\cbrs-preview-2026-08-09.json,2026-08-09,2026-08-09,,50.2817,0.0,30.17,0.0,,57.07,60.76,49.03,62.23,60.06,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
COHR,COHR,Coherent Corp. Common Stock,NYSE,295.83,4652611,303.789999,295.989,-2.62,-0.05,-4.69,-6.78,290.28,301.77,297.92,2026-09-25,440.0,440.0,440.0,440.0,440.0,-31.42,-31.42,-31.42,32.77,32.77,False,False,False,False,False,290.388001,296.766802,329.374418,286.156951,256.165361,54.010914,0.408257,-1.349378,1.757636,19.846425,6.708726,-2.620231,0.054138,-0.053718,0.039335,1.874044,-0.07177,-0.315669,-0.190506,-10.184282,0.690454,3.38033,1.973441,6081522.2,6243360.55,6187150.183333,0.745209,0.75198,332.859985,255.25,-11.124793,11.124793,391.369995,220.679993,-24.411681,24.411681,440.0,220.679993,-32.765909,32.765909,440.0,105.019997,-32.765909,32.765909,-32.765909,189.63188,0.017962,-0.067841,-0.031241,0.00149,-0.197532,0.168273,1.765025,297.9200134277344,301.77,290.2799987792969,295.83,300.8900146484375,290.20001220703125,0.017962,False,False,False,False,False,False,False,False,False,0.483029,0.335073,False,False,False,False,False,0.0,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,49.24,0.0,14.29,0.0,0.0,,0.0,24.48,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,36.6009,49.029,29.1643,28.4319,43.5117,33.7089,32.7512,,569.1080901,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,COHR,56910809010.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,COHR | Coherent Corp. FY2026 Q4 Earnings Preview,2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\cohr-preview-2026-08-09.json,2026-08-09,2026-08-09,,36.6009,0.0,21.96,0.0,,53.78,62.5,49.03,56.29,57.19,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
CRCL,CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,89.0,10929055,92.559999,90.383999,-3.85,-1.53,-5.91,-3.03,87.59,92.21,92.0,2026-09-25,140.0,298.99,298.99,140.0,298.99,-34.14,-69.16,-69.16,36.43,70.23,False,False,False,False,False,92.001,79.593,87.05475,86.09075,91.0844,38.767427,2.559197,3.432826,-0.873629,6.522,7.32809,-3.846153,0.049338,-1.531243,-0.034545,-3.261921,0.229672,11.818879,-0.111743,2.234514,-0.041832,3.379283,,12651631.0,15529567.75,14193979.25,0.703758,0.769978,103.279999,78.260002,-13.82649,13.82649,103.279999,57.84,-13.82649,13.82649,140.0,57.84,-36.428571,36.428571,159.470001,49.900002,-44.19013,44.19013,-44.19013,78.356708,-0.043011,-0.03029,-0.01766,-0.055603,0.436642,-0.034183,-0.299157,92.0,92.20999908447266,87.58999633789062,89.0,95.38999938964844,90.33000183105467,-0.043011,False,True,False,False,False,False,False,False,False,0.305195,0.045454,False,False,False,False,True,0.0,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,27.48,0.0,28.57,0.0,0.0,,6.52,24.46,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,85.62,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,36.4977,26.3219,29.1643,28.4319,67.2864,33.7089,32.7512,,236.10456933,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CRCL,23610456933.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"CRCL | Circle Internet Group, Inc. FY2026 Q2 Earnings Preview",2026-08-02,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\crcl-preview-2026-08-02.json,2026-08-02,2026-08-02,,36.4977,0.0,21.9,0.0,,53.76,55.69,49.03,62.23,57.17,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
CRWV,CRWV,"CoreWeave, Inc. - Class A Common Stock",Nasdaq,87.59,23199906,87.362,84.53,0.26,3.62,0.96,7.66,86.8,90.9,90.634,2026-09-25,138.25,187.0,187.0,138.25,187.0,-34.25,-51.39,-51.39,36.64,53.16,False,False,False,False,False,86.2,85.7628,97.154958,92.183125,95.76898,48.158934,-0.432016,-0.779503,0.347487,5.506143,6.286269,0.260983,0.069329,3.620017,-0.038011,1.612529,-0.057851,2.130527,-0.167228,-9.845054,0.066634,-4.982609,,31016701.2,29117730.3,28321546.766667,0.796762,0.819161,104.589996,78.269997,-16.253941,16.253941,117.489998,60.549999,-25.448973,25.448973,138.25,60.549999,-36.643761,36.643761,153.199997,60.549999,-42.82637,42.82637,-42.82637,44.65731,-0.028181,0.076573,-0.015732,0.009101,0.022233,0.08216,-0.272146,90.63420104980467,90.9000015258789,86.8,87.59,91.1230010986328,85.93599700927734,-0.028181,False,False,False,True,False,True,False,False,False,0.192683,0.064829,False,False,False,False,True,16.67,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,62.35,16.67,42.86,0.0,0.0,,0.0,36.2,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,85.62,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,76.7887,59.1249,71.8122,69.3615,82.2723,33.7089,32.7512,,497.09993938,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,CRWV,49709993938.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"CRWV | CoreWeave, Inc. FY2026 Q2 Earnings Preview",2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\crwv-preview-2026-08-09.json,2026-08-09,2026-08-09,,76.7887,0.0,46.07,0.0,,63.43,76.19,61.31,65.98,65.62,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
